Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1706509828,710,,Aggregated,61.100000,4.400000,2600,3700,4700,5400,7400,8500,11000,11000,12000,12000,12000,3832,302,2600.0,3134.319195108313,8.947382999394904,11982.416698000634,20828.084551148226
1706509829,720,,Aggregated,60.600000,4.000000,2600,3800,4700,5400,7500,8600,11000,12000,12000,12000,12000,3889,307,2600.0,3208.5201060709846,8.947382999394904,12137.242531999618,20798.644124453585
1706509830,730,,Aggregated,60.300000,3.700000,2600,3800,4800,5600,7500,8700,11000,12000,12000,12000,12000,3947,312,2600.0,3269.7216515057157,8.947382999394904,12311.581650000335,20822.429440081076
1706509831,740,,Aggregated,59.900000,4.100000,2600,3900,4800,5600,7700,8900,11000,12000,13000,13000,13000,4010,315,2600.0,3327.5175029481434,8.947382999394904,12663.226972999837,20905.48728179551
1706509832,750,,Aggregated,59.500000,4.100000,2700,4100,4900,5900,7800,9100,11000,12000,13000,13000,13000,4072,321,2700.0,3397.1578884216747,8.947382999394904,13031.377123999846,20905.815815324164
1706509833,760,,Aggregated,59.600000,3.700000,2700,4200,5000,6000,8000,9500,12000,12000,13000,13000,13000,4131,325,2700.0,3466.347909052786,1.8321170000490383,13136.258376999649,20902.091261195837
1706509834,770,,Aggregated,60.000000,3.600000,2700,4300,5100,6100,8100,9600,12000,12000,13000,14000,14000,4205,344,2700.0,3520.473207945554,1.271598000130325,13536.023431999638,20806.133174791914
1706509835,780,,Aggregated,59.800000,3.900000,2800,4400,5200,6200,8300,9800,12000,13000,14000,14000,14000,4268,351,2800.0,3594.662382336001,1.271598000130325,13905.553038999642,20820.542174320526
1706509836,790,,Aggregated,61.100000,5.700000,2800,4500,5200,6300,8500,9900,12000,13000,14000,14000,14000,4327,361,2800.0,3652.012498816283,1.271598000130325,14209.514690000105,20834.28888375318
1706509837,800,,Aggregated,60.800000,5.900000,2900,4600,5200,6300,8600,10000,12000,13000,14000,14000,14000,4407,387,2900.0,3702.9011543612587,1.271598000130325,14279.750560000139,20794.599500794193
